Resource File,Task,Alt. title,Curricular Status,Featured,Description,Language,Alignment,Educational Subject,Educational Level,Audience,Educational Use,Interactivity Type,Source,Teaches,Tags,Select,Priority,Assigned to,Accession Number,Category,All taxonomy terms,Status,Date,Updated date,Upload date,Node id
http://localhost/content/nroer/content_audio/Hamare%20Mitra%20%28Master%29.ogg,हमारे मित्र ,Our Friends,CR,0,"यह कार्यक्रम शरीर के विभिन्न अंगो को हमारे मित्रों के रूप में वयक्त करता है
",Hindi,NCF,Environmental Studies,Upper Primary,,Audios,Expositive,"CIET, NCERT",Environmental Studies,"body parts, human body",,normal,Versha,,task,"Upper Primary
Audios
body parts
Environmental Studies
Environmental Studies
Expositive
human body
NCF
CIET, NCERT
LOCKED
Hindi
",LOCKED,"Monday, February 16, 2015 - 11:30am","Saturday, April 18, 2015 - 11:09am","Monday, February 16, 2015 - 6:03am",8699
http://localhost/content/nroer/content_audio/Khargosh%20Aur%20Kachua%20%28Master%29.ogg,खरगोश और कछुआ ,Rabbit and Tortoise,CR,0,"यह कार्यक्रम खरगोश और कछुए की कहानी द्वारा लगातार काम करते रहने की प्रेरणा देता है
",Hindi,NCF,Environmental Studies,Primary,Students,Audios,Expositive,"CIET, NCERT",Environmental Studies,"hard work, fables",,normal,Versha,,task,"Primary
Audios
Environmental Studies
Environmental Studies
Expositive
fables
hard work
NCF
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Wednesday, May 13, 2015 - 11:15am","Monday, February 16, 2015 - 6:03am",8714
http://localhost/content/nroer/content_audio/Upar%20Neeche%20aage%20peeche%20%28Master%29.ogg,"ऊपर_नीचे, आगे_पीछे ","Up-down, Foreward-backward",CR,0,"यह कार्यक्रम बच्चों में दिशाओं की जानकारी देता है जैसेः आगे, पीछे, ऊपर और नीचे
",Hindi,NCF,Environmental Studies,Primary,Students,Audios,Expositive,"CIET, NCERT",Environmental Studies,"directions, distance",,normal,Versha,,task,"Primary
Audios
directions
distance
Environmental Studies
Environmental Studies
Expositive
NCF
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Wednesday, May 13, 2015 - 10:36am","Monday, February 16, 2015 - 6:08am",8739
http://localhost/content/nroer/content_video/AIR%20POLLUTION-1.webm,Air Pollution_01,,CR,0,"This is a programme of air pollution; covers causes, impact, hazards amd pollutant of pollution
",English,NCF,Environmental Studies,"Secondary, Senior Secondary",Students,Videos,Expositive,"CIET, NCERT",Environmental Studies,"pollution, health",,normal,devashish,,task,"Secondary
Senior Secondary
Environmental Studies
Environmental Studies
Expositive
health
NCF
pollution
Students
Videos
CIET, NCERT
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Friday, December 19, 2014 - 9:30am","Friday, May 8, 2015 - 9:04am","Friday, December 19, 2014 - 5:05am",977
http://localhost/content/nroer/content_video/ENVIRONMENTAL%20AWARENESS%20PART-I.webm,Creating environmental awareness among students_01,,CR,0,"This is a programme of environmental awareness, developed for creating environmental awareness among the students
",English,NCF,Environmental Studies,"Secondary, Senior Secondary",Students,Videos,Expositive,"CIET, NCERT",Environmental Studies,industrialisation,,normal,Renu_deswal,,task,"Secondary
Senior Secondary
Environmental Studies
Environmental Studies
Expositive
industrialisation
NCF
Students
Videos
CIET, NCERT
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Friday, January 2, 2015 - 3:45pm","Friday, July 3, 2015 - 11:45am","Friday, January 2, 2015 - 10:39am",2771
http://localhost/content/nroer/content_video/ENVIRONMENTAL%20AWARENESS%20PART-II%20.webm,Creating Environmental awareness among students_02,,CR,0,"This is a programme on environmental awareness; developed for creating environmental awareness among the students
",English,NCF,Environmental Studies,"Secondary, Senior Secondary",Students,Videos,Expositive,"CIET, NCERT",Environmental Studies,Chipko Movement,,normal,Renu_deswal,,task,"Secondary
Senior Secondary
Chipko Movement
Environmental Studies
Environmental Studies
Expositive
NCF
Students
Videos
CIET, NCERT
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Friday, January 2, 2015 - 3:45pm","Friday, July 3, 2015 - 11:45am","Friday, January 2, 2015 - 10:41am",2776
http://localhost/content/nroer/content_video/GANESH%20USTAV.webm,गणेश उत्सव ,Ganesh utsava,CR,0,"गणेश उत्सव क्यों और किस लिए मनाया जाता है इसको इस कार्यक्रम में विस्तार से समझाया गया है
",Hindi,NCF,Environmental Studies,,Students,Videos,Expositive,"CIET, NCERT",Environmental Studies,"Ganesh Chathurthi, Vishnu vinayak Chathurti",,normal,maneesha,,task,"Environmental Studies
Environmental Studies
Expositive
Ganesh Chathurthi
NCF
Students
Videos
Vishnu vinayak Chathurti
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Tuesday, March 24, 2015 - 4:45pm","Thursday, May 7, 2015 - 7:24am","Tuesday, March 24, 2015 - 11:22am",10234
http://localhost/content/nroer/content_video/ROLE%20PLAY%202012-13%20.webm,Role Play 2012-13 ,,CR,0,"This program is based on different themes of folk dances and also describes different role played by students
",English,NCF,Environmental Studies,"Upper Primary, Secondary",Students,Videos,Expositive,"CIET, NCERT",Environmental Studies,"folk dance, theme, role played",,normal,Versha,,task,"Upper Primary
Secondary
Environmental Studies
Environmental Studies
Expositive
folk dance
NCF
role played
Students
theme
Videos
CIET, NCERT
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Wednesday, January 7, 2015 - 1:00pm","Friday, May 22, 2015 - 6:39am","Wednesday, January 7, 2015 - 8:55am",3709
http://localhost/content/nroer/content_video/Exhibit%20-32%20%28Change%20is%20Remarkable%29.webm,"Change is Remarkable,  Feel it",,CR,0,"This program is based on an exhibit prepared by a mentally retarded child, this is an attempt to bring a remarkable change in the lives of these children by bringing them into the mainstream
",English,NCF,Environmental Studies,"Primary, Upper Primary",Students,Videos,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends,"mental retardation, innovation, special children, special needs",,normal,aerum,,task,"Primary
Upper Primary
Environmental Studies
Expositive
Family and Friends
innovation
mental retardation
NCF
special children
special needs
Students
Videos
CIET, NCERT
APPROVED
English
",APPROVED,"Tuesday, March 31, 2015 - 4:45pm","Wednesday, May 6, 2015 - 2:41pm","Tuesday, March 31, 2015 - 11:26am",10668
http://localhost/content/nroer/content_audio/Jungle%20Ke%20Sathi%20%28Master%29.ogg,जंगल के साथी ,Friends of forest,CR,0,"यहं कार्यक्रम हाथी की कहानी द्वारा दोस्ती के महता का वर्णन करता है
",Hindi,NCF,Environmental Studies,"Primary, Upper Primary",Students,Audios,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals,"meaning of friedship, relations",,normal,Versha,,task,"Primary
Upper Primary
Animals
Audios
Environmental Studies
Expositive
meaning of friedship
NCF
relations
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Wednesday, May 13, 2015 - 11:16am","Monday, February 16, 2015 - 6:03am",8706
http://localhost/content/nroer/content_audio/Murga%20%28Master%29.ogg,मुर्गा ,Cock,CR,0,"यह कार्यक्रम मुर्गे की जानकारी पर आधारित है
",Hindi,NCF,Environmental Studies,Primary,Students,Audios,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals,"birds, different characteristics",,normal,Versha,,task,"Primary
Animals
Audios
birds
different characteristics
Environmental Studies
Expositive
NCF
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Wednesday, May 13, 2015 - 11:07am","Monday, February 16, 2015 - 6:03am",8724
http://localhost/content/nroer/content_audio/Tote%20Ki%20Kahani%20%28Master%29.ogg,तोते की कहानी ,Story of parrot,CR,0,"यह कार्यक्रम बच्चों में रटने और समझने में अंतर करने के गुण का विकास करता है
",Hindi,NCF,Environmental Studies,Primary,Students,Audios,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals,"birds, characteristics of various birds",,normal,Versha,,task,"Primary
Animals
Audios
birds
characteristics of various birds
Environmental Studies
Expositive
NCF
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Wednesday, May 13, 2015 - 10:10am","Monday, February 16, 2015 - 6:08am",8738
http://localhost/content/nroer/content_video/KAUWA%20KI%20SUJBUJ.webm,कौए की सुझबुझ ,Imtelligence Of Crow,CR,0,"यह कार्यक्रम एक नाटक द्वारा कौए की सुझबुझ का वर्णन करता है
",English,NCF,Environmental Studies,Primary,Students,Videos,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals,"intelligence, understanding, common sense",,normal,Versha,,task,"Primary
Animals
common sense
Environmental Studies
Expositive
intelligence
NCF
Students
understanding
Videos
CIET, NCERT
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Tuesday, January 20, 2015 - 10:30am","Friday, May 22, 2015 - 4:32am","Tuesday, January 20, 2015 - 5:37am",4416
http://localhost/content/nroer/content_video/SIET-BR-201%20HATHI.webm,हाथी,Elephant,CR,0,"इस कार्यक्रम में हाथी के बारे में बताया गया है|
",Hindi,"NCF, State",Environmental Studies,"Primary, Upper Primary",,Videos,Expositive,SCERT Bihar,Environmental Studies›Family and Friends›Animals,"wild animals, forest",,normal,Renu_deswal,,task,"Primary
Upper Primary
Animals
Environmental Studies
Expositive
forest
NCF
State
Videos
wild animals
SCERT Bihar
LOCKED
Hindi
",LOCKED,"Tuesday, March 31, 2015 - 1:45pm","Saturday, April 18, 2015 - 5:07am","Tuesday, March 31, 2015 - 8:33am",10576
public://resources/Look_At_Me_English_Low_Res.pdf,Look at me,,CR,,"This is a book named Look at me; covers a story on sense organs
",English,NCF,Environmental Studies,Primary,,Documents,Expositive,Pratham Books,Environmental Studies›Family and Friends›Animals›Care of young,"sense organs, Ear, eye, tongue, nose, skin",,normal,monica,,task,"Primary
Care of young
Documents
Ear
Environmental Studies
Expositive
eye
NCF
nose
Pratham Books
sense organs
skin
tongue
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Wednesday, April 15, 2015 - 11:45am","Friday, June 12, 2015 - 11:41am","Wednesday, April 15, 2015 - 6:19am",11051
http://localhost/content/nroer/content_audio/Dadaji-Machlee%2C%20Mendhak%2C%20Kachu%20%28Master%29.ogg,"दादाजी-मेंडक, मछली, कछुआ ","Grandfather--Frog, Fish, Tortoise",CR,0,"यह कार्यक्रम जलीय जीवो जैसेः मछली, मेंढक, कछुआ आदि की जानकारी देता है
",Hindi,NCF,Environmental Studies,"Primary, Upper Primary",Students,Audios,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals›Diversity,"different animals, various characteristics",,normal,Versha,,task,"Primary
Upper Primary
Audios
different animals
Diversity
Environmental Studies
Expositive
NCF
Students
various characteristics
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Wednesday, May 13, 2015 - 11:46am","Monday, February 16, 2015 - 6:03am",8682
http://localhost/content/nroer/content_audio/endmdep43.ogg,Aquarium,,CR,0,"This program provides information about how fishes survive in an aquarium and the essential conditions for maintaining a aquarium
",English,,Environmental Studies,Upper Primary,Students,Audios,Expositive,Vigyan Prasar,Environmental Studies›Family and Friends›Animals›Diversity,"fish, aquatic animals, aquarium",,normal,Versha,,task,"Upper Primary
aquarium
aquatic animals
Audios
Diversity
Environmental Studies
Expositive
fish
Students
Vigyan Prasar
APPROVED
English
",APPROVED,"Thursday, February 12, 2015 - 3:45pm","Wednesday, May 13, 2015 - 1:33pm","Thursday, February 12, 2015 - 11:07am",8531
http://localhost/content/nroer/content_audio/Mor%20%28Master%29.ogg,मोर ,Peacock,CR,0,"यह कार्यक्रम हमारे राष्ट्रीय पक्षी मोर की जानकारी देता है
",Hindi,NCF,Environmental Studies,Primary,Students,Audios,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals›Diversity,"national bird, a bird known for his dance",,normal,Versha,,task,"Primary
a bird known for his dance
Audios
Diversity
Environmental Studies
Expositive
national bird
NCF
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Thursday, May 14, 2015 - 4:27am","Monday, February 16, 2015 - 6:03am",8721
http://localhost/content/nroer/content_audio/Mor%20Aur%20Tota%20%28Master%29.ogg,मोर और तोता ,Peacock and Parrot,CR,0,"यह कार्यक्रम एक गीत द्वारा मोर और तोते की जानकारी देता है
",Hindi,NCF,Environmental Studies,Primary,Students,Audios,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals›Diversity,"animals, characteristics of animals",,normal,Versha,,task,"Primary
animals
Audios
characteristics of animals
Diversity
Environmental Studies
Expositive
NCF
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Thursday, May 14, 2015 - 4:26am","Monday, February 16, 2015 - 6:03am",8720
public://resources/Chulbul%27s_Tail_English_Low_Res.pdf,Chulbul's tail,,CR,,"This is a book named Chulbul's tail; covers a story of the tail of a squirrel
",English,NCF,Environmental Studies,Primary,,Documents,Expositive,Pratham Books,Environmental Studies›Family and Friends›Animals›Diversity,"story, diversity, animals, tail",,normal,monica,,task,"Primary
animals
diversity
Diversity
Documents
Environmental Studies
Expositive
NCF
Pratham Books
story
tail
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Wednesday, April 15, 2015 - 11:45am","Tuesday, June 9, 2015 - 9:11am","Wednesday, April 15, 2015 - 6:19am",11068
public://resources/Grandpa_Fish_and_the_Radio_English_Low_Res.pdf,Grandpa fish and the radio,,CR,,"This is a book named Grandpa fish and the radio; covers a story of water animals living together and the importance of news
",English,NCF,Environmental Studies,Primary,,Documents,Expositive,Pratham Books,Environmental Studies›Family and Friends›Animals›Diversity,"water animals, news",,normal,monica,,task,"Primary
Diversity
Documents
Environmental Studies
Expositive
NCF
news
Pratham Books
water animals
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Wednesday, April 15, 2015 - 11:45am","Tuesday, June 9, 2015 - 11:55am","Wednesday, April 15, 2015 - 6:19am",11059
public://resources/The_Generous_Crow_English_Low_Res.pdf,The generous crow,,CR,,"This is a book named The generous crow; covers the story of a crow and tells the features of different birds
",English,NCF,Environmental Studies,Primary,,Documents,Expositive,Pratham Books,Environmental Studies›Family and Friends›Animals›Diversity,"birds, story",,normal,monica,,task,"Primary
birds
Diversity
Documents
Environmental Studies
Expositive
NCF
Pratham Books
story
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Wednesday, April 15, 2015 - 11:45am","Monday, June 29, 2015 - 11:20am","Wednesday, April 15, 2015 - 6:19am",11022
public://resources/The_Jungle_School_English_Low_Res.pdf,The jungle school,,CR,,"This is a book named The jungle school; covers the story of animals in jungle and through the story it explains the characteristics of the animals
",English,NCF,Environmental Studies,Primary,,Documents,Expositive,Pratham Books,Environmental Studies›Family and Friends›Animals›Diversity,"animals, story",,normal,monica,,task,"Primary
animals
Diversity
Documents
Environmental Studies
Expositive
NCF
Pratham Books
story
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Wednesday, April 15, 2015 - 11:45am","Tuesday, June 30, 2015 - 6:50am","Wednesday, April 15, 2015 - 6:19am",11019
http://localhost/content/nroer/content_audio/Tota-1%20%28Master%29.ogg,तोता_1,Parrot-1,CR,0,"यह कार्यक्रम तोते की  विशेषताओ का वर्णन करता है
",Hindi,NCF,Environmental Studies,Primary,Students,Audios,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals›Food and eating,birds,,normal,Versha,,task,"Primary
Audios
birds
Environmental Studies
Expositive
Food and eating
NCF
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Wednesday, May 13, 2015 - 10:00am","Monday, February 16, 2015 - 6:08am",8736
http://localhost/content/nroer/content_audio/Tote%20Ka%20Geet%20Sikhana%20%28Master%29.ogg,तोते का गीत सीखना ,Parrot's Song Learning,CR,0,"यह कार्यक्रम तोते के गुणों का वर्णन करता है
",Hindi,NCF,Environmental Studies,Primary,Students,Audios,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals›Food and eating,"birds, charcterstics",,normal,Versha,,task,"Primary
Audios
birds
charcterstics
Environmental Studies
Expositive
Food and eating
NCF
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Wednesday, May 13, 2015 - 10:04am","Monday, February 16, 2015 - 6:08am",8737
public://resources/gesc102.epub,Nutrition in Animals,NA,CR,0,"Chapter 02 of the Science textbook of class 07
",English,NCF,Science,Upper Primary,Students,Documents,Expositive,NCERT,Environmental Studies›Family and Friends›Animals›Food and eating,"Absorption, amino acids, amoeba, assimilation, bile, buccal cavity, canine, cellulose, digestion, egestion, fatty acids, food vacuole, gall bladder, glycerol, incisor, ingestion, liver, milk teeth, molar, permanent teeth, oesophagus, pancreas, premolar",,normal,,,task,"Upper Primary
Absorption
amino acids
amoeba
assimilation
bile
buccal cavity
canine
cellulose
digestion
Documents
egestion
Expositive
fatty acids
Food and eating
food vacuole
gall bladder
glycerol
incisor
ingestion
liver
milk teeth
molar
NCF
oesophagus
pancreas
permanent teeth
premolar
Science
Students
NCERT
APPROVED
English
",APPROVED,,"Monday, June 8, 2015 - 10:58am","Monday, June 8, 2015 - 10:58am",13603
public://resources/gesc102.pdf,Nutrition in Animals,,CR,0,"Chapter 2 of the Science textbook of class VII
",English,NCF,Science,Upper Primary,Students,Documents,Expositive,NCERT,Environmental Studies›Family and Friends›Animals›Food and eating,"absorption, amino acids, Amoeba, assimilation, bile, buccal cavity, canine, cellulose, digestion, egestion, fatty acids, food vacuole, gall bladder, glycerol, incisor, ingestion, liver, milk teeth, molar, permanent teeth, oesophagus, pancreas, premolar",,normal,,,task,"Upper Primary
absorption
amino acids
Amoeba
assimilation
bile
buccal cavity
canine
cellulose
digestion
Documents
egestion
Expositive
fatty acids
Food and eating
food vacuole
gall bladder
glycerol
incisor
ingestion
liver
milk teeth
molar
NCF
oesophagus
pancreas
permanent teeth
premolar
Science
Students
NCERT
APPROVED
English
",APPROVED,,"Tuesday, April 7, 2015 - 9:39am","Monday, February 9, 2015 - 8:50am",6372
http://localhost/content/nroer/content_video/LOOKING%20AT%20LEARNING-PART-2.webm,Looking At Learning Part-2,,CR,0,"This program is based on development of society, such as it explains movement and learning of a child through his experiences and also explains about the science behind these activities
",English,NCF,Environmental Studies,Primary,Students,Videos,Expositive,"CIET, NCERT",Environmental Studies›Family and Friends›Animals›Movement,"activities, cordination, experiments",,normal,Versha,,task,"Primary
activities
cordination
Environmental Studies
experiments
Expositive
Movement
NCF
Students
Videos
CIET, NCERT
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Tuesday, January 20, 2015 - 10:30am","Thursday, May 21, 2015 - 7:29am","Tuesday, January 20, 2015 - 5:40am",4419
